Interaction.Type,SARTable
"AK BERING SEA, ALEUTIAN ISLANDS ATKA MACKEREL TRAWL",commercial
"AK BERING SEA, ALEUTIAN ISLANDS CRAB POT",commercial
"AK BERING SEA, ALEUTIAN ISLANDS FLATFISH TRAWL",commercial
AQUACULTURE FACILITY ENTANGLEMENT,commercial
AT-SEA HAKE PELAGIC TRAWL,commercial
CA HALIBUT AND WHITE SEABASS SET GILLNET FISHERY,commercial
CA SPINY LOBSTER TRAP FISHERY,commercial
CA SPOT PRAWN TRAP FISHERY,commercial
CA SWORDFISH DRIFT GILLNET FISHERY,commercial
CATCH SHARES BOTTOM TRAWL,commercial
CATCH SHARES HOOK AND LINE,commercial
CATCH SHARES POT,commercial
CATCHER PROCESSOR MIDWATER TRAWL,commercial
CATCHER PROCESSOR MIDWATER TRAWL,commercial
COD POT FISHERY ENTANGLEMENT,commercial
COONSTRIPE SHRIMP POT FISHERY (CA),commercial
CRAB POT FISHERY - HOOK AND LINE FISHERY,commercial
DUNGENESS CRAB POT FISHERY,commercial
DUNGENESS CRAB POT FISHERY (CA AND OR),commercial
DUNGENESS CRAB POT FISHERY (CA),commercial
DUNGENESS CRAB POT FISHERY (COMMERCIAL),commercial
DUNGENESS CRAB POT FISHERY (OR AND WA),commercial
DUNGENESS CRAB POT FISHERY (OR),commercial
DUNGENESS CRAB POT FISHERY (WA COASTAL),commercial
GILLNET FISHERY,commercial
GULF OF ALASKA HALIBUT LONGLINE,commercial
GULF OF ALASKA PACIFIC COD LONGLINE,commercial
GULF OF ALASKA SABLEFISH LONGLINE,commercial
HAKE MIDWATER TRAWL,commercial
HAWAII LONGLINE SHALLOW SET FISHERY,commercial
LIMITED ENTRY CA HALIBUT BOTTOM TRAWL,commercial
LIMITED ENTRY FIXED GEAR DTL HOOK AND LINE,commercial
LIMITED ENTRY FIXED GEAR HOOK AND LINE,commercial
LIMITED ENTRY SABLEFISH HOOK AND LINE,commercial
LIMITED ENTRY TRAWL BOTTOM TRAWL,commercial
LIMITED ENTRY TRAWL HOOK AND LINE,commercial
MIDWATER HAKE TRAWL,commercial
MIDWATER ROCKFISH TRAWL,commercial
MIDWATER TRAWL ROCKFISH EM,commercial
MS CATCHER VESSELS MIDWATER TRAWL,commercial
NEARSHORE HOOK AND LINE,commercial
NEARSHORE HOOK AND LINE,commercial
OPEN ACCESS CA HALIBUT BOTTOM TRAWL,commercial
PACIFIC WHITING TRAWL FISHERY,commercial
RED KING CRAB POT FISHERY ENTANGLEMENT,commercial
RIDGEBACK PRAWN BOTTOM TRAWL,commercial
SALMON GILLNET FISHERY (AK),commercial
SALMON GILLNET FISHERY (WA),commercial
SEA CUCUMBER BOTTOM TRAWL,commercial
SEAL BOMB,commercial
SET GILLNET FISHERY ENTANGLEMENT,commercial
SHORESIDE HAKE MIDWATER TRAWL,commercial
TRAWL FISHERY UNIDENTIFIED,commercial
UNIDENTIFIED FISHERY ENTANGLEMENT,commercial
UNIDENTIFIED NET FISHERY,commercial
UNIDENTIFIED NET FISHERY - SHOOTING,commercial
UNIDENTIFIED NET FISHERY - VESSEL STRIKE,commercial
UNIDENTIFIED POT - TRAP FISHERY ENTANGLEMENT,commercial
WA - OR - CA SABLEFISH POT FISHERY,commercial
WA - OR - CA SABLEFISH POT FISHERY AND CA COONSTRIPE SHRIMP POT FISHERY,commercial
WEST COAST GROUNDFISH FISHERY,commercial
WEST COAST GROUNDFISH NEARSHORE FIXED GEAR FISHERY,commercial
WEST COAST GROUNDFISH TRAWL,commercial
WEST COAST GROUNDFISH TRAWL (PACIFIC HAKE AT-SEA PROCESSING COMPONENT) FISHERY,commercial
AUTHORIZED MMPA SEC. 120 REMOVAL,other
BLUNT FORCE TRAUMA,other
BOX CRAB POT FISHERY (CA - EXPERIMENTAL),other
"CRAB POT FISHERY, TRIBAL",other
DOG ATTACK,other
DUNGENESS CRAB POT FISHERY (RECREATIONAL),other
ELECTRIC SHOCK,other
ENTRAPMENT,other
GAFF INJURY,other
GAFF INJURY,other
"GILLNET FISHERY, TRIBAL",other
HARASSMENT,other
HARPOON OR ARROW,other
HOOK AND LINE FISHERY,other
ILLEGAL HUNT,other
"LONGLINE FISHERY, TRIBAL",other
MARINE DEBRIS,other
OIL  -  TAR,other
"POT FISHERY, TRIBAL",other
POWER PLANT ENTRAINMENT,other
ROPE,other
SALMON HOOK AND LINE,other
SCIENTIFIC RESEARCH,other
SHOOTING,other
SHOOTING - HOOK AND LINE FISHERY,other
SPEARING,other
SPEARING,other
SPOT PRAWN TRAP - POT FISHERY (RECREATIONAL),other
SPRAY PAINTING,other
STAB WOUNDS,other
"TROLL FISHERY, TRIBAL",other
UNDERWATER DETONATION EXERCISES,other
UNIDENTIFIED HUMAN INTERACTION,other
VEHICLE COLLISION,other
VESSEL STRIKE,other
WA STATE FUR TRAP,other
